rolling_window,feature_group,evaluation,test_season,rows,accuracy,log_loss,brier_score
expanding,rest,walk_forward,2024,272,0.5330882352941176,0.6913849022582224,0.2491175886075411
expanding,rest,walk_forward,2025,272,0.5367647058823529,0.6904029372340114,0.24862930092851876
expanding,rest,fixed_holdout,all,544,0.5349264705882353,0.6909151317527945,0.2488839822943498
3,all,walk_forward,2020,256,0.6015625,0.6670091529280788,0.23639502905611648
3,all,walk_forward,2021,272,0.5882352941176471,0.6770181336854106,0.24156860401554656
3,all,walk_forward,2022,271,0.5904059040590406,0.6629415366184732,0.23518416605305928
3,all,walk_forward,2023,272,0.5477941176470589,0.6738486281407967,0.24064218411547078
3,all,walk_forward,2024,272,0.6286764705882353,0.6403477055092779,0.2248205711122479
3,all,walk_forward,2025,272,0.6139705882352942,0.6465101409005619,0.22807867599890402
3,all,fixed_holdout,all,544,0.6268382352941176,0.6429685222637103,0.22618863255970148
3,epa,walk_forward,2020,256,0.59375,0.6582783578674577,0.23310804635345794
3,epa,walk_forward,2021,272,0.5955882352941176,0.6750502750051379,0.24067566316187494
3,epa,walk_forward,2022,271,0.5867158671586716,0.6626711798024784,0.23506174499426125
3,epa,walk_forward,2023,272,0.5625,0.6752141148128459,0.2412788871113855
3,epa,walk_forward,2024,272,0.6213235294117647,0.6402757505906569,0.2247615312515177
3,epa,walk_forward,2025,272,0.6139705882352942,0.6475368662724269,0.22851154016133912
3,epa,fixed_holdout,all,544,0.6194852941176471,0.643535027007135,0.22641907557145666
3,epa_pace,walk_forward,2020,256,0.59765625,0.6599466478563201,0.23393862603785995
3,epa_pace,walk_forward,2021,272,0.5919117647058824,0.6773442031303778,0.24171266726618063
3,epa_pace,walk_forward,2022,271,0.5940959409594095,0.6630646771009385,0.23524320136297142
3,epa_pace,walk_forward,2023,272,0.5514705882352942,0.6745245699929766,0.24097078666101263
3,epa_pace,walk_forward,2024,272,0.6286764705882353,0.6403229549581682,0.22482228210521676
3,epa_pace,walk_forward,2025,272,0.6139705882352942,0.6464672135765908,0.22803615903337549
3,epa_pace,fixed_holdout,all,544,0.6268382352941176,0.6429545850568146,0.22617753295208795
3,epa_rest,walk_forward,2020,256,0.6015625,0.6652142423059615,0.23548022076169528
3,epa_rest,walk_forward,2021,272,0.5882352941176471,0.6747430210485458,0.24054198275768807
3,epa_rest,walk_forward,2022,271,0.5867158671586716,0.6625719210663455,0.23501381808341124
3,epa_rest,walk_forward,2023,272,0.5625,0.6745456740018776,0.2409540632882947
3,epa_rest,walk_forward,2024,272,0.6286764705882353,0.6402893612988924,0.22475211113178073
3,epa_rest,walk_forward,2025,272,0.6139705882352942,0.6475765633684242,0.22855392678048142
3,epa_rest,fixed_holdout,all,544,0.6231617647058824,0.6435442909992952,0.22642780888790132
3,pace,walk_forward,2020,256,0.50390625,0.7103963149959969,0.25848891975863547
3,pace,walk_forward,2021,272,0.5183823529411765,0.6903252500490873,0.2486060745479873
3,pace,walk_forward,2022,271,0.5940959409594095,0.6805202743266594,0.24372387801408943
3,pace,walk_forward,2023,272,0.5551470588235294,0.6843786562419948,0.24564093414475732
3,pace,walk_forward,2024,272,0.5514705882352942,0.6888777145423091,0.24789658410368823
3,pace,walk_forward,2025,272,0.5588235294117647,0.681384994269755,0.2441756542691111
3,pace,fixed_holdout,all,544,0.5569852941176471,0.6851893078332791,0.2460654109369933
3,rest,walk_forward,2020,256,0.49609375,0.7126913308537167,0.25642379687841
3,rest,walk_forward,2021,272,0.5147058823529411,0.6945854227429561,0.25071460041243204
3,rest,walk_forward,2022,271,0.5571955719557196,0.6868441160764971,0.2468547582886956
3,rest,walk_forward,2023,272,0.5551470588235294,0.6868071184512159,0.24683689590395322
3,rest,walk_forward,2024,272,0.5330882352941176,0.6913849022582224,0.2491175886075411
3,rest,walk_forward,2025,272,0.5367647058823529,0.6904029372340114,0.24862930092851876
3,rest,fixed_holdout,all,544,0.5349264705882353,0.6909151317527945,0.2488839822943498
