rolling_window,feature_group,evaluation,test_season,rows,accuracy,log_loss,brier_score
3,epa_pace,fixed_holdout,all,544,0.6268382352941176,0.6427636302870918,0.22608913930599642
3,epa_rest,walk_forward,all,1615,0.5987616099071208,0.6606593683532745,0.23414662508874098
3,epa_rest,fixed_holdout,all,544,0.6213235294117647,0.6433454800993033,0.2263356811950954
3,epa_rest_neutral_pace,walk_forward,all,1615,0.5987616099071208,0.6608850978400932,0.23425637378690536
3,epa_rest_neutral_pace,fixed_holdout,all,544,0.625,0.6429366732163018,0.22613792935457255
3,pace,walk_forward,all,1615,0.5473684210526316,0.6889792759214658,0.247924071362893
3,pace,fixed_holdout,all,544,0.5569852941176471,0.6851360574450913,0.2460386019788677
3,rest,walk_forward,all,1615,0.5325077399380805,0.6934934657432078,0.2496481427295024
3,rest,fixed_holdout,all,544,0.5349264705882353,0.6908824691058167,0.24886778904999687
5,all,walk_forward,all,1615,0.6241486068111455,0.6512141771291979,0.22955861086692128
5,all,fixed_holdout,all,544,0.6378676470588235,0.6336273100792675,0.22172717599524136
5,all_neutral_pace,walk_forward,all,1615,0.6229102167182663,0.6518403782805576,0.229862923869257
5,all_neutral_pace,fixed_holdout,all,544,0.6360294117647058,0.6336872280652562,0.22175455376428505
5,epa,walk_forward,all,1615,0.6303405572755418,0.6496120537727925,0.22898783818048318
5,epa,fixed_holdout,all,544,0.6452205882352942,0.6337683852398451,0.22172405442499046
5,epa_neutral_pace,walk_forward,all,1615,0.6278637770897832,0.6504991570586959,0.22939111225036102
5,epa_neutral_pace,fixed_holdout,all,544,0.6452205882352942,0.6337451019038246,0.22171459548563385
5,epa_pace,walk_forward,all,1615,0.6235294117647059,0.6500846237811153,0.22923651762771494
5,epa_pace,fixed_holdout,all,544,0.6378676470588235,0.6336439176421542,0.22173380370049245
5,epa_rest,walk_forward,all,1615,0.6272445820433437,0.6506777921564841,0.22929939961436593
5,epa_rest,fixed_holdout,all,544,0.6415441176470589,0.6337528752183647,0.2217182225137598
5,epa_rest_neutral_pace,walk_forward,all,1615,0.6266253869969041,0.6515431657069379,0.22971292738661211
5,epa_rest_neutral_pace,fixed_holdout,all,544,0.6415441176470589,0.633706060991778,0.22169927417629906
5,pace,walk_forward,all,1615,0.5479876160990712,0.6889352781981555,0.24789746351135214
5,pace,fixed_holdout,all,544,0.5422794117647058,0.685656699714456,0.2462891665244755
5,rest,walk_forward,all,1615,0.5325077399380805,0.6934934657432078,0.2496481427295024
5,rest,fixed_holdout,all,544,0.5349264705882353,0.6908824691058167,0.24886778904999687
8,all,walk_forward,all,1615,0.621671826625387,0.6466450117043427,0.22755598479313172
8,all,fixed_holdout,all,544,0.6341911764705882,0.6357788477550305,0.2230037336901339
8,all_neutral_pace,walk_forward,all,1615,0.6167182662538699,0.6470558654030631,0.22778081746666928
8,all_neutral_pace,fixed_holdout,all,544,0.6305147058823529,0.6360640277036331,0.2231403301872956
8,epa,walk_forward,all,1615,0.6198142414860681,0.6448626849112142,0.22691213132396912
8,epa,fixed_holdout,all,544,0.6360294117647058,0.6357064618669293,0.22295129063273617
8,epa_neutral_pace,walk_forward,all,1615,0.6167182662538699,0.6453846385649049,0.2271502780680075
8,epa_neutral_pace,fixed_holdout,all,544,0.6341911764705882,0.6359428001872507,0.22305584894212083
8,epa_pace,walk_forward,all,1615,0.6210526315789474,0.6454888049034928,0.22722079485689414
8,epa_pace,fixed_holdout,all,544,0.6360294117647058,0.6357469977822442,0.2229843089519651
8,epa_rest,walk_forward,all,1615,0.6191950464396285,0.6459587219322892,0.22723388362768576
8,epa_rest,fixed_holdout,all,544,0.6341911764705882,0.6357441346358031,0.22297507417801074
8,epa_rest_neutral_pace,walk_forward,all,1615,0.6142414860681115,0.646471071916589,0.22748388706781297
8,epa_rest_neutral_pace,fixed_holdout,all,544,0.6323529411764706,0.6359463404880747,0.22306487384513302
8,pace,walk_forward,all,1615,0.5368421052631579,0.6902893017954522,0.24855686880027741
8,pace,fixed_holdout,all,544,0.5533088235294118,0.6883617033257894,0.2476431159208834
8,rest,walk_forward,all,1615,0.5325077399380805,0.6934934657432078,0.2496481427295024
8,rest,fixed_holdout,all,544,0.5349264705882353,0.6908824691058167,0.24886778904999687
